Execution Time: 135.2352592945099
Number of Frames: 2156
Process: 15.942587837279554Fps
60.png 0.8308 - 3
70.png 0.7515 - 1
60.png 0.8428 - 2
40.png 0.8783 - 1
70.png 0.7679 - 1
40.png 0.8092 - 5
60.png 0.8089 - 3
70.png 0.7948 - 1
60.png 0.806 - 2
40.png 0.8475 - 1
60.png 0.8229 - 1
40.png 0.8613 - 1
70.png 0.7665 - 1
60.png 0.8084 - 6
40.png 0.8487 - 1
60.png 0.8361 - 3
70.png 0.7284 - 1
60.png 0.8557 - 1
70.png 0.7298 - 1
40.png 0.874 - 1
70.png 0.7885 - 1
60.png 0.7915 - 2
40.png 0.8505 - 1
60.png 0.8451 - 1
40.png 0.8625 - 1
60.png 0.827 - 3
70.png 0.7826 - 1
60.png 0.8575 - 1
70.png 0.7729 - 2
60.png 0.8108 - 9
70.png 0.7798 - 1
60.png 0.8087 - 1
70.png 0.7647 - 2
60.png 0.7501 - 3
70.png 0.7422 - 1
60.png 0.8159 - 1
70.png 0.7854 - 1
60.png 0.7082 - 1
70.png 0.7581 - 2
60.png 0.7782 - 5
70.png 0.7377 - 2
60.png 0.74 - 1
70.png 0.7674 - 1
60.png 0.7959 - 3
70.png 0.7575 - 1
60.png 0.8092 - 3
70.png 0.7223 - 1
60.png 0.8291 - 2
70.png 0.6947 - 1
60.png 0.7223 - 2
70.png 0.7643 - 3
60.png 0.8004 - 2
70.png 0.7467 - 1
60.png 0.8007 - 3
70.png 0.7173 - 2
60.png 0.8415 - 1
70.png 0.7757 - 2
60.png 0.8088 - 4
70.png 0.7925 - 1
60.png 0.901 - 1
70.png 0.8025 - 2
60.png 0.5444 - 1
70.png 0.6832 - 1
60.png 0.7541 - 1
70.png 0.7677 - 61
Stop.png 0.6023 - 9
NoLeftTurn.png 0.6638 - 2
Stop.png 0.598 - 4
NoLeftTurn.png 0.6892 - 1
Stop.png 0.5613 - 1
NoLeftTurn.png 0.6936 - 3
TurnLeft.png 0.7395 - 1
NoLeftTurn.png 0.6793 - 3
TurnLeft.png 0.7848 - 2
NoLeftTurn.png 0.7133 - 2
TurnLeft.png 0.7564 - 14
NoLeftTurn.png 0.7496 - 1
TurnLeft.png 0.7517 - 1
NoLeftTurn.png 0.7587 - 1
TurnLeft.png 0.7547 - 9
NoLeftTurn.png 0.8034 - 1
TurnLeft.png 0.7438 - 3
NoLeftTurn.png 0.8266 - 1
TurnLeft.png 0.7352 - 2
NoLeftTurn.png 0.778 - 1
TurnLeft.png 0.7744 - 1
NoLeftTurn.png 0.7907 - 1
TurnLeft.png 0.7612 - 4
NoLeftTurn.png 0.8343 - 1
TurnLeft.png 0.7609 - 3
NoLeftTurn.png 0.8228 - 5
NoRightTurn.png 0.7261 - 1
NoLeftTurn.png 0.7305 - 7
NoRightTurn.png 0.7971 - 2
NoLeftTurn.png 0.6536 - 1
NoRightTurn.png 0.7899 - 6
NoLeftTurn.png 0.6998 - 1
NoRightTurn.png 0.7999 - 4
NoLeftTurn.png 0.7466 - 1
NoRightTurn.png 0.8088 - 1
NoLeftTurn.png 0.7797 - 2
NoRightTurn.png 0.7861 - 4
NoLeftTurn.png 0.7397 - 1
NoRightTurn.png 0.797 - 5
NoLeftTurn.png 0.7325 - 1
NoRightTurn.png 0.8204 - 24
TurnRight.png 0.5756 - 2
NoRightTurn.png 0.829 - 9
